1486|10758
2133|748
3497|5945
8863|7371
7581|3377
394|8992
58|9495
8882|3035
10395|6397
3063|6095
4477|5085
2516|5433
7889|10093
10351|3534
4020|5043
3069|2817
2296|5566
900|9547
10578|3979
2257|1285
3229|6359
3275|5334
250|10885
6397|4220
9356|4755
5592|1394
3960|369
5668|5472
137|3844
525|7143
6105|6980
2051|7497
677|3370
7522|8101
2479|6836
51|3094
3351|10377
9605|1947
5126|2387
7641|10994
4231|6818
1070|10490
3709|10096
9423|5678
3495|1990
3818|8946
3354|3033
9338|3314
250|9031
9973|1296
2233|3391
8345|10494
9440|4030
1423|1332
6186|8770
5248|2117
6505|2256
1094|4863
10505|9714
15|4601
10816|959
3158|3788
8469|1164
10787|10470
3536|8534
4331|104
8462|4873
2443|2259
4945|451
5428|2498
4723|9518
10288|2098
2234|5127
4373|3881
2514|9999
10022|7323
6343|2241
9674|3636
9059|10632
3368|883
3338|7864
3770|6748
4409|1344
8935|3720
5893|2143
6197|8828
9175|8957
3108|10968
5225|8068
1621|8922
2255|4
8953|7262
1838|9668
6491|6694
2975|3611
6228|2896
6059|1057
2982|1039
2045|8079
6002|2833
5435|1279
9741|2057
1389|4674
9308|9352
7285|478
1590|3530
6877|5603
9872|9039
8840|7903
9126|2504
7686|2175
8870|142
8354|46
512|3185
609|7311
3688|133
2720|4173
1417|3719
6236|7004
1206|900
9476|6412
4935|10985
1436|6764
3844|4939
6682|857
1295|7370
2160|6076
4791|282
9102|3363
4289|5914
1986|2550
9771|9251
10347|369
8601|660
9679|7480
8019|5269
8265|6177
413|4984
8544|2243
6963|4645
4741|8630
15|5798
571|4422
5623|7892
7526|5591
5686|7598
9199|1660
8958|3859
5827|8163
8968|7418
10793|293
1717|1052
2623|9165
516|3104
9102|6963
3887|4699
2144|8960
4649|1569
1730|5666
9613|3386
2063|9316
2632|369
112|1708
2438|7796
720|1507
10721|4214
902|10800
6007|4406
4315|8020
4311|7518
4986|4237
1483|9820
4772|6969
5805|9571
4690|7841
7796|6535
5720|1694
9807|8774
2610|5185
85|4559
6473|10447
5417|9371
1024|8928
10865|1415
3153|5897
354|2309
8706|4751
6847|10282
2857|2596
2463|8902
5695|6907
8303|2299
5993|3739
785|3653
2947|2739
4516|935
9808|4066
2639|2138
3981|7663
4595|8478
10400|10864
9215|1576
5528|6809
7475|989
6165|7662
5249|5892
10235|10179
2098|2124
8514|3730
1786|4782
4772|2623
8414|5380
7395|8205
3242|1212
4641|1561
10262|1199
189|1735
6569|7448
5417|8859
10640|2560
1415|3024
8423|10264
2571|4222
3487|5893
3587|5391
1521|3462
5127|3918
10752|3273
2152|8216
9205|6120
7548|5121
3712|5247
8558|8055
5748|1880
2331|4131
9059|5840
6125|1060
2967|1096
4327|4488
10827|968
10108|5632
2502|6852
9388|6002
10028|4575
1932|4108
8559|7032
4776|3820
1771|1407
7733|1743
10767|776
2847|1344
8260|6443
9197|781
8135|1041
8215|461
7246|9117
8179|6022
10958|2241
5487|3212
10219|8183
3817|920
5508|2879
8953|1558
8403|810
2926|10959
4341|4439
35|1540
272|3919
2744|7413
3705|9797
10264|8647
2402|6078
412|9159
6103|8113
9248|9653
6785|5049
4484|1434
6996|2430
3804|4632
2654|241
7799|56
8828|10421
9796|5075
7666|3935
5842|5776
239|9102
5078|2385
8611|1373
6870|1380
10117|6745
9715|5973
10179|10078
7979|7658
9642|10267
1861|467
9853|2214
9715|7254
10305|5935
2053|182
3920|315
3654|1988
8024|2207
9268|308
8802|4488
7590|7873
9169|4446
2557|10144
