361_Degrees 	 231.6808 1000 0.0004134949 1000 0.8486387 6.722424 2000 
AGV_Sports_Group 	 180.2378 1000 1.422236e-05 1000 1.281337 50.19961 2000 
ASICS 	 276.3449 1000 0.003743573 117.7157 3.985462 95.85203 2000 
Admiral_Sportswear 	 192.0368 1000 1.928122e-06 1000 3.440672 32.97545 349.533 
Alpha_Sports 	 184.0726 1000 5.502198e-05 1000 2000 1.007402 0.003811815 
Anta_Sports 	 280.8658 1000 1.416711e-05 1000 2000 6.044029 0.1158535 
Arc'teryx 	 205.5988 1000 0.0006146807 728.7863 7.870217 1.909481 2.361365 
Atletica 	 276.8734 1000 0.003626722 121.7202 2.602433 110.7516 2000 
BURRDA 	 253.2373 1000 5.134629e-05 1000 3.444823 131.0122 2000 
Bell_Sports 	 190.1402 1000 0.0005710891 706.1047 2000 1.149015 0.005773927 
CA_Sports 	 296.6963 1000 0.0004650055 839.236 16.82958 6.320006 8.787894 
CCM_(ice_hockey) 	 251.7409 1000 8.776686e-06 1000 1.834019 72.49848 2000 
Carbrini_Sportswear 	 178.8697 1000 2.499311e-06 1000 87.61539 3.886236 0.7567948 
Daei_Sport 	 278.7069 1000 2.036398e-06 1000 4.09031 94.26776 2000 
Dainese 	 167.1621 1000 0.0007601992 509.6935 2000 3.005964 0.04327329 
Derbi 	 255.4273 1000 9.260346e-06 1000 4.696088 5.649784 34.50071 
Diadora 	 180.1687 1000 2.484143e-06 1000 1.562992 35.75328 2000 
Donnay_(sports) 	 275.0608 1000 2.898588e-06 1000 4.716735 2.965245 9.720678 
Dunlop_Sport 	 182.654 1000 5.722237e-05 1000 6.355306 7.165477 34.9408 
EA_Sports 	 273.5564 1000 0.003829386 114.3115 2.011337 91.13949 2000 
ERKE_(brand) 	 201.9138 1000 0.0001359773 1000 1.60123 62.11518 2000 
Elan_(company) 	 254.2555 1000 2.405115e-06 1000 9.857408 2.651836 4.664063 
Elan_Snowboards 	 197.236 1000 0.0004751273 827.7838 1999.728 1.727617 0.01220157 
Elfin_Sports_Cars 	 264.2356 1000 0.0004019848 932.9005 2000 1.509758 0.01081791 
Erreà 	 175.9589 1000 5.60342e-05 1000 3.229811 12.58223 226.9883 
Fila_(company) 	 286.3814 1000 3.26707e-06 1000 1996.039 2.358644 0.02064498 
Fischer_(company) 	 282.6458 1000 2.575429e-06 1000 1996.824 0.8096531 0.009225908 
Hart_Skis 	 178.514 1000 0.0003302122 1000 5.71076 12.49939 97.41588 
Howies 	 278.4944 1000 4.470385e-06 1000 3.931949 26.66325 245.2171 
International_Sports_Clothing 	 186.4005 1000 1.830769e-05 1000 2.01723 10.01778 185.4214 
K2_Sports 	 197.3712 1000 7.647157e-06 1000 50.76063 1.77011 0.612458 
Kappa_(company) 	 187.0725 1000 0.0006651092 693.0938 2000 2.768748 0.03773692 
Karhu_(sports_brand) 	 284.4948 1000 0.000350506 1000 3.132788 95.71452 2000 
Kettler 	 227.9553 1000 2.918027e-05 1000 2000 1.261009 0.01944742 
Keuka_(brand) 	 208.9305 1000 6.964901e-05 1000 14.07224 3.907495 9.205711 
Li-Ning 	 6.763568 15.50206 0.0004505421 1000 1.451677 102.0581 2000 
Lotto_Sport_Italia 	 256.2196 1000 0.0001047458 1000 7.411584 285.7013 2000 
MG_Sports_and_Racing_Europe 	 167.8649 1000 1.429175e-05 1000 2.259608 58.44808 2000 
MYLAPS_Sports_Timing 	 281.2759 1000 1.583744e-05 1000 2000 2.425297 0.02755412 
Macron_(sportswear) 	 172.0407 1000 0.0001967576 1000 2000 2.458364 0.02081784 
Mikasa_Sports 	 204.0939 1000 0.0001467573 1000 1.305612 30.68638 2000 
Mugen_Motorsports 	 213.4038 1000 7.255275e-05 1000 1.28099 21.17884 2000 
Nomis 	 182.4539 1000 0.0003286564 1000 2000 3.839739 0.07716481 
Olympikus 	 212.7697 1000 0.0005091894 835.3377 2000 1.378197 0.01955109 
Onda_(sportswear) 	 283.7236 1000 1.766966e-06 1000 1.119895 57.38013 2000 
POC_Sports 	 284.2385 1000 2.312216e-05 1000 2000 2.017847 0.02390793 
Peak_Sport_Products 	 344.5537 1000 0.002311081 175.301 0.9328364 52.45094 2000 
Penalty_(sports_manufacturer) 	 213.3842 1000 0.00010802 1000 1.314801 26.76819 2000 
Pirma 	 214.8712 1000 0.0004990475 825.7747 1998.771 2.866485 0.02795449 
Reebok 	 355.0319 1000 0.002629017 150.6242 1.540494 29.0186 2000 
SCOTT_Sports 	 198.3658 1000 7.686708e-05 1000 3.291773 108.3085 2000 
SLAM_(clothing) 	 168.8844 1000 2.042192e-06 1000 7.256668 432.2774 2000 
Signia_(sportswear) 	 277.4925 1000 7.204044e-05 1000 1.362511 1.695698 31.09327 
Sina_Sports 	 201.066 1000 1.381034e-05 1000 6.006914 3.050935 10.07486 
TRYMAX 	 281.9069 1000 2.083953e-06 1000 2.468822 106.9267 2000 
Tecnica_Group 	 168.8471 1000 1.843258e-06 1000 6.468415 6.931595 38.12714 
