asin,title,price,imgUrl,productId,brand
H2VJIFKI8H,Econet,42.09,http://example.com/img.jpg,8716,12
D3P42EOB6N,Audi_100,34.56,http://example.com/img.jpg,6563,102
Z64FLU5XWO,Bautek_Bico,58.17,http://example.com/img.jpg,6923,132
CC9GS97ZEA,Pinnacle_vodka,49.53,http://example.com/img.jpg,13447,133
MEOTC4NOT8,Bensen_B-5,74.47,http://example.com/img.jpg,7042,143
LFJXE7QG0B,British_Rail_Class_432,59.63,http://example.com/img.jpg,7392,172
YK1HZF56E7,Bugatti_EB_110,45.38,http://example.com/img.jpg,7494,178
I7SGGDKFJD,Canon_Cat,59.45,http://example.com/img.jpg,7653,189
C5BL6YJE6A,Cessna_152,50.95,http://example.com/img.jpg,7684,202
C649ANXTJP,Cessna_160,26.14,http://example.com/img.jpg,7685,202
YT05G1WFP2,Chevrolet_Express,39.92,http://example.com/img.jpg,7841,210
WH18I2KSDJ,Convair_F-102_Delta_Dagger,81.29,http://example.com/img.jpg,8092,234
Q1RJI67FC1,Douglas_DC-8_(piston_airliner),37.59,http://example.com/img.jpg,8613,288
T4U7YA50DB,Fiat_BGA,139.02,http://example.com/img.jpg,8957,332
L77Y4Y8CCG,Ford_LTD_(Americas),61.13,http://example.com/img.jpg,9355,354
OLHF3BQOQO,Ford_Mustang_(fifth_generation),43.09,http://example.com/img.jpg,9385,354
XQGWGZDAZ9,Chevrolet_small-block_engine,31.9,http://example.com/img.jpg,7915,385
P583RQ2VMD,GM_A_platform_(1982),36.19,http://example.com/img.jpg,9565,385
GG5PBD6DSU,GM_M_platform,64.1,http://example.com/img.jpg,9592,385
MZ8OCKBKL9,Gourdou-Leseurre_GL.50,95.36,http://example.com/img.jpg,9737,405
AT6ARF7WPE,Handley_Page_Jetstream,52.74,http://example.com/img.jpg,9954,420
JCQJ9EBW22,DRDO_Lakshya,38.09,http://example.com/img.jpg,8258,436
WN69WTGE58,Holden_Commodore_(VR),27.25,http://example.com/img.jpg,10130,441
BUYF9V2RQQ,Hyundai_New_Power_Truck,77.01,http://example.com/img.jpg,10378,457
OZDAFZCD53,100_Series_Shinkansen,36.56,http://example.com/img.jpg,1,517
OL389G2PZK,Kia_Cadenza,60.2,http://example.com/img.jpg,11046,523
X86CMJO53H,LG_G_Pro_Lite,33.14,http://example.com/img.jpg,11192,540
OSMQZYQ9S2,La_Mouette_Sphinx,100.97,http://example.com/img.jpg,11250,542
JX783356MT,Volkswagen_GX3,33.77,http://example.com/img.jpg,16080,572
ZEF8QVI1FO,Mazda_Familia,99.85,http://example.com/img.jpg,11978,603
ALMW134XI0,Mitsubishi_Pajero_iO,62.17,http://example.com/img.jpg,12576,630
ZFGE3B5TR8,Nieuport-Delage_Sesquiplan,24.86,http://example.com/img.jpg,12817,659
IIM2CHWQEE,Nissan_Quest,39.95,http://example.com/img.jpg,12909,663
FDGTBN6NOI,Northrop_P-61_Black_Widow,46.76,http://example.com/img.jpg,12997,667
H6JECU7TIF,Opel_Manta,73.61,http://example.com/img.jpg,13114,679
TD4JCGGWXS,Pegasus_Quik,22.96,http://example.com/img.jpg,13272,687
ZN7LBWIE4C,Porsche_Carrera_GT,67.59,http://example.com/img.jpg,13614,730
S4CUB2SIMB,Barton_Premium_Blend,115.09,http://example.com/img.jpg,6919,819
L5274OLO8I,Felixstowe_F.3,78.55,http://example.com/img.jpg,8931,832
DKIFIED3RP,Simca_6,44.86,http://example.com/img.jpg,14846,837
FEI9Y0NC07,Slingsby_Hengist,30.33,http://example.com/img.jpg,14914,846
DEDA5TAHD5,Westland_30,119.36,http://example.com/img.jpg,16320,996
CHBWET55U3,Willys_Hurricane_engine,62.76,http://example.com/img.jpg,16375,1001
PDIBCFLPTW,Acura_CL,24.12,http://example.com/img.jpg,6005,13
HW1ECK67EG,Airco_DH.9A,88.91,http://example.com/img.jpg,6179,46
JZ231BXKAQ,AutoGyro_MT-03,30.89,http://example.com/img.jpg,6693,105
WJOASVAM07,BMW_3_Series_(E36),75.55,http://example.com/img.jpg,6765,124
Q6IUD7MKQG,Bautek_Astir,47.75,http://example.com/img.jpg,6922,132
Y854DDCLDN,Bautek_Sunrise,40.48,http://example.com/img.jpg,6927,132
